Citation	URL of article	Camp Name	Type of Outreach Program: Camp, Workshop, In-Class, After-School; if not one of these (e.g. a survey about middle-school) put a warning in	Targeted Group? (Womens, Ethnicity (specify), Other (specify), No)	Themes: Game Design, Art, Virtual Reality, Overview of topics/ CS careers, Robotics, Mapping, App development/mobile computing, prog (lang/concepts)	Language (Scratch, Alice, etc.)	Location: university, at a middle/high school, N/A, other (specify)	Number of Students in Outreach program (unknown, indicate study size in bold)	Kinesthetic/Unplugged, Pair Programming, Other (specify)?	Kind of assesment: survey (specify pre/post), qualitative by interest (observation of kids), qualitative by understanding (observation of works), other (specify)	Results (indicate as the first word, in BOLD, whether the overall effect was positive, negative, or neutral)	Time Frame	Cost for the campers (exact number, ballpark figure, or not given)		Gender (Girls, Co-ed, Boys, Unknown)	Quotes	Did it indicate racial breakdown?		WARNINGS!!
Karina Assiter , Charlie Wiseman, Exploratory learning with Alice: experiences leading a computer science workshop for girl scouts, Journal of Computing Sciences in Colleges, v.31 n.4, p.21-27, April 2016	http://dl.acm.org/citation.cfm?id=2904130 	Assiter	Workshop (1 day)	Women	Programming	Alice	University 	29	none	Post survey 	positive: 25 reported really liked, 4 just liked	1 day 	unknown		Girls only		N		777
Adams, J.C. 2010. Scratching middle schoolers' creative itch. In Proc of the 41st ACM tech symp on Comp Sci Ed. ACM, 356-360.	http://dl.acm.org/citation.cfm?id=1734385&CFID=799953953&CFTOKEN=72200537	Adams	Summer Camp	Women, Men	Art	Scratch	unknown	Boys camp: about 30 + waitlist Girls camp: avg 15	none	Pre and Post Surveys, Judgement of final projects	Positive. Students gained confidence in programming and had an overall positive experience at the camp,  All campers had a positive time at the camp and a majority felt that they knew more about computing by the end of the camp 	5 day, 9:30 am - 2:30 pm, commuter	$185		Girls only, boys only		N		TWO CAMPS DIVIDED BY GENDER
Basawapatna, A.R., Koh, K.H. et al. 2010. Using scalable game design to teach computer science from middle school to graduate school. In Proc of ITiCSE '10 ACM, New York, NY, 224-228.	http://dl.acm.org/citation.cfm?id=1822154 	Basawapatna	In-Class, 1-2 weeks for middle schoolers	N/A	Game Design	AgentSheets	middle school	197	none	Post survery and observations	Postitive. The reviews at the end of the week were positive, and informal observations seem to support that. Seems to interest the students and have a favorable impact, but not enough quantifiable data is not given to support this conclusion.	1-2 weeks	Unknown		Co-ed 115 girls 82 boys		Y		HAS MULTIPLE STUDIES WITHIN -- ONLY CHECK THE MIDDLE SCHOOL DATA
Philip Sheridan Buffum, Megan Frankosky, Kristy Elizabeth Boyer, Eric N. Wiebe, Bradford W. Mott, and James C. Lester. 2016. Collaboration and gender equity in game-based learning for middle school computer science. Computing in Science & Engineering 18, 18 (Mar./Apr. 2016), 18-28. DOI:http://dx.doi.org/10.1109/MCSE.2016.37	http://scitation.aip.org/content/aip/journal/cise/18/2/10.1109/MCSE.2016.37	Buffum		Women	Game Design	Other	urban middle school, Raleigh, North Carolina	28		Self-reported strategy by students, Field observations,knowledge assessment	Collaboration is useful, but results (based on objective knowledge assessments) may not occur initiallyPartners may not always be well placed Neutral	school hours in the fall of 2014	N/A		Pilot: Co-ed, 14 girls, 14 boys, 28 students total; Actual: 26 boys, 22 girls, 48 students total 		Y		HAS TWO SETS OF DATA IN IT -- ONE PILOT STUDY AND ONE ACTUAL STUDY
Philip Sheridan Buffum, Megan Hardy Frankosky, Kristy Elizabeth Boyer, Eric N. Wiebe, Bradford W. Mott, and James C. Lester. 2016. Empowering All Students: Closing the CS Confidence Gap with an In-School Initiative for Middle School Students. In Proceedings of the 47th ACM Technical Symposium on Computing Science Education (SIGCSE '16). ACM, New York, NY, USA, 382-387.	http://dl.acm.org/citation.cfm?id=2844595	Buffum	In-Class	Women, Ethnic Minorities	Game Design	Other	Raleigh, NC	Classroom: 200 (only 84 completed all surveys)	none	Pre/post surveys on attitudes toward CS	POSITIVE. 48 participants reported having participated in any activities that involves cs or programming, 36 said no. Pre and post surveys on computer science attitudes found no significant difference between kids with and without prior cs experience While they attracted a pool with sufficient numbers of women the after school activity failed to provide a pool that could help them understand how game based learning impact students with no pre-existing interest 	Integration into science curriculum over 2 years, each year is 20 session courses with each course lasting an hour	Free		31 female, 53 male				INCLUDES A LIT REVIEW, and BOTH AN IN-CLASS PROGRAM and AN AFTER-SCHOOL PROGRAM
Carter, E., Blank, G. and Walz, J. 2012. Bringing the breadth of computer science to middle schools. In Proc of the 43rd ACM tech symp on Comp Sci Ed (SIGCSE '12). ACM, New York, 203-208.	http://dl.acm.org/citation.cfm?id=2157198&CFID=626148091&CFTOKEN=45041951	Blank	In-Class	Women, Ethnic Minorities	Art, Robotics	Teacher-Bot, Scratch	Allentown, Pennsylvania	unknown	none	A Jeopardy game was created to test students retention rate	Students were really good at remembering concepts and not vocabulary, however, students struggled when asked about difficult material that took many classes to teach 	2 days a week for 9 weeks	Free to students (school board paid)		Co-Ed		N		
Cheung, J.C.Y., Ngai, G. et al. 2009. Filling the gap in programming instruction: a text-enhanced graphical programming environment for junior high students. In Proc of SIGCSE '09. ACM, 276-280.	http://dl.acm.org/citation.cfm?id=1508968&CFID=626148091&CFTOKEN=45041951	Ngai		N/A	Programming	Scratch, BrickLayer	n/a	n/a		Pre and Post Surveys	All camp creators must take into account the amount the prior knowledge that students enter a camp with. If a student has already programmed in scratch or another language, our curricula could yield uneffective.   Students felt stronger about their coding skills by the end of the camp. Students were motivated to change textual code when given the opportunity to  	n/a	n/a		Unspecified		N		
Judy Clark, Michael P. Rogers, Carol Spradling, and John Pais. 2013. What, no canoes? Lessons learned while hosting a scratch summer camp. J. Comput. Sci. Coll. 28, 5 (May 2013), 204-210.	http://dl.acm.org/citation.cfm?id=2458614&CFID=635030310&CFTOKEN=85779903	Clark	Workshop (2 day) 	N/A	Programming	Scratch	Maryville, MO	44	none	Pre/Post Surveys	Positive	1 day for teachers to learn, 1 day for teachers to teach students, grades 4-6	Free		unknown		N		
Cottam, J.A., Foley, S.S. and Menzel, S. 2010. Do roadshows work?: examining the effectiveness of just be. In Proc of the 41st ACM tech symp on Comp Sci Ed (SIGCSE '10). ACM, New York, NY, 17-21.	http://dl.acm.org/citation.cfm?id=1734271&CFID=801050710&CFTOKEN=48946120	Cottam	Workshop (1 day) 	N/A	Overview	Unknown	Indiana University; Bloomington, IN	613	Kinesthetic (CS Unplugged)	pre-/post-surveys, no longitudinal	Positive. Apparently positive, though there were no longitudinal surveys given	1 class period (given to different classes over the semester)	free		Co-Ed		N		
Craig, A., Coldwell-Neilson, J. and Beekhuyzen, J. 2013. Are IT interventions for girls a special case?. In Proc of the 44th ACM tech symp on Comp sci ed (SIGCSE '13). ACM, New York, 451-456. 	http://dl.acm.org/citation.cfm?id=2445328&CFID=626148091&CFTOKEN=45041951	Craig	Workshop (2 day) 	Women	Overview	Other	Uknown	4932 (over four years)	none	2-page questionnaire at the end of the presentation; author did analysis of this survey based on word usage in the participants' responses, start of a longitudinal study	Positive (as in they enjoyed it, not sure about impact). The results so far suggest that regardless of the age group, strategies for making a session interesting, fun and funny are important for interventions targeted at any age group. One key aspect that the author mentioned is that it is extremely important to make sure that an audience has a reason to connect with a presenter, or they won’t listen.	2 days	Uknown		Female		N		
