Name	Targ1	Targ2	Targ3	Theme1	Theme2	Theme3	Theme4	Theme5	Theme6	Lang1	Lang2	Lang3	Lang4	Lang5	Lang6	Lang7	Lang8	
Bolles App Inventer Summer Camp	1	@	@	3	@	@	@	@	@	4	@	@	@	@	@	@	@	
App Inventor	1	@	@	3	@	@	@	@	@	4	@	@	@	@	@	@	@	
Beginner/  Intermediate Code Crew	1	@	@	3	@	@	@	@	@	4	@	@	@	@	@	@	@	
Mobile Apps using MIT App Inventor	1	@	@	3	@	@	@	@	@	4	@	@	@	@	@	@	@	
App Inventor	1	@	@	3	@	@	@	@	@	4	28	@	@	@	@	@	@	
App Adventures: The Next Level	1	@	@	3	@	@	@	@	@	18	@	@	@	@	@	@	@	
App Attack! Make Your First Game App	1	@	@	3	@	@	@	@	@	13	20	@	@	@	@	@	@	
Ivy Coding Tech Summer Camp	1	@	@	3	@	@	@	@	@	27	@	@	@	@	@	@	@	
Android Applications & Computer Programming	1	@	@	3	@	@	@	@	@	3	4	28	29	@	@	@	@	
Computer Science and App Design	1	@	@	3	@	@	@	@	@	72	@	@	@	@	@	@	@	
App Adventures	1	@	@	3	@	@	@	@	@	72	@	@	@	@	@	@	@	
App Attack! Make your First App	1	@	@	3	@	@	@	@	@	72	@	@	@	@	@	@	@	
Designing Your First App: Making Games for Android	1	@	@	3	@	@	@	@	@	72	@	@	@	@	@	@	@	
Mobile Tech 300: Advanced Mobile Technology	1	@	@	3	@	@	@	@	@	72	@	@	@	@	@	@	@	
App Adventures: The Next Level!	1	@	@	3	@	@	@	@	@	72	@	@	@	@	@	@	@	
App Attack! Make Your First Game App	1	@	@	3	@	@	@	@	@	72	@	@	@	@	@	@	@	
LINX Gaming App Design Camp 2	1	@	@	2	3	@	@	@	@	18	19	32	@	@	@	@	@	
LINX Gaming App Design Camp	1	@	@	2	3	@	@	@	@	28	@	@	@	@	@	@	@	
MS App and Game Academy	1	@	@	2	3	@	@	@	@	18	@	@	@	@	@	@	@	
Kids Coding	1	@	@	2	3	@	@	@	@	72	@	@	@	@	@	@	@	
Computer Quest	1	@	@	0	2	3	6	@	@	72	@	@	@	@	@	@	@	
3D Printing	1	@	@	0	@	@	@	@	@	0	@	@	@	@	@	@	@	
3D Printing	1	@	@	0	@	@	@	@	@	0	@	@	@	@	@	@	@	
3D Printing Camp	1	@	@	0	@	@	@	@	@	0	@	@	@	@	@	@	@	
3D Portraits & Photogrammetry	1	@	@	0	@	@	@	@	@	0	@	@	@	@	@	@	@	
Film	1	@	@	0	@	@	@	@	@	2	@	@	@	@	@	@	@	
Animation	1	@	@	0	@	@	@	@	@	2	6	23	@	@	@	@	@	
Programming4Grils - Alice Workshop for Girls	0	@	@	0	@	@	@	@	@	3	@	@	@	@	@	@	@	
ALICE 3D Programming	1	@	@	0	@	@	@	@	@	3	@	@	@	@	@	@	@	
3D Printing	1	@	@	0	@	@	@	@	@	11	@	@	@	@	@	@	@	
Adventures in 3D Printing	1	@	@	0	@	@	@	@	@	11	@	@	@	@	@	@	@	
Creating 3D Prints with BlocksCAD	1	@	@	0	@	@	@	@	@	0	11	@	@	@	@	@	@	
Digital Storytelling Using ComicLife	1	@	@	0	@	@	@	@	@	37	@	@	@	@	@	@	@	
Computer Animation: Introduction to Flash	1	@	@	0	@	@	@	@	@	15	@	@	@	@	@	@	@	
Illinoise Tech Computer Discovery Camp	0	@	@	0	@	@	@	@	@	21	@	@	@	@	@	@	@	
Bytes and Beats: An Introduction to Programming with MATLAB	1	@	@	0	@	@	@	@	@	54	@	@	@	@	@	@	@	
3D Modeling & Animation with Maya	1	@	@	0	@	@	@	@	@	23	@	@	@	@	@	@	@	
Animation	1	@	@	0	@	@	@	@	@	6	23	@	@	@	@	@	@	
3D Game Design - Level Development with Unreal Engine 4	1	@	@	0	@	@	@	@	@	23	33	@	@	@	@	@	@	
3D Animation	1	@	@	0	@	@	@	@	@	23	70	71	@	@	@	@	@	
Hack Your Notebook, with Ligth	1	@	@	0	@	@	@	@	@	24	@	@	@	@	@	@	@	
Digital Photography and Photoshop	1	@	@	0	@	@	@	@	@	2	@	@	@	@	@	@	@	
Creative Computing Camp	1	@	@	0	@	@	@	@	@	28	@	@	@	@	@	@	@	
Adventures in Animation	1	@	@	0	@	@	@	@	@	64	@	@	@	@	@	@	@	
Computer Simulation	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Computer Generated Music	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Stop Motion Movies	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Wearable Computing	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Computer Generated Music	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Stop Motion Movies	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Wearable Computing	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
3D Graphic Design	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Digital Animation: A Technology Mentoring Program for Young Women (day camp)	0	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
3D Modeling & Printing Camp	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Academy for 3D Modeling & Animation with Maya® and Mudbox	1	@	@	0	@	@	@	@	@	23	@	@	@	@	@	@	@	
Girls Middle School Video Game Design Camp	0	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
3D Printing & Engineering with Autodesk 123D 	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Adventures in Engineering & 3D Printing	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Digital Animation: A Technology Mentoring Program for Young Women	0	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Printing the Future	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Beginning Programming	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
iDesign Workshop for Middle School Girls	0	@	@	0	@	@	@	@	@	5	@	@	@	@	@	@	@	
Computer Storytelling	1	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Computer Animation: Introduction to Flash	1	@	@	0	@	@	@	@	@	15	@	@	@	@	@	@	@	
Alice 3D Programming	1	@	@	0	@	@	@	@	@	3	@	@	@	@	@	@	@	
Enjoyable Coding with Alice	1	@	@	0	1	@	@	@	@	3	@	@	@	@	@	@	@	
3D Modeling and Animation	1	@	@	0	1	@	@	@	@	3	@	@	@	@	@	@	@	
    Explore Coding with Art for middle school girls	0	@	@	0	1	@	@	@	@	3	19	28	@	@	@	@	@	
Animations and Games in Java Camps	1	@	@	0	1	2	@	@	@	19	@	@	@	@	@	@	@	
3D Design and Printing	1	@	@	0	6	@	@	@	@	11	62	@	@	@	@	@	@	
GREAT Summer Camp	1	@	@	0	1	6	@	@	@	3	21	26	@	@	@	@	@	
Resistors and Radios Circuits Introduction	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
All About Technology	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Girlgeneering	0	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
EPIC – Engineering Possibilities in College	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Entry to Engineering	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
3D Animation for Video Games	1	@	@	2	@	@	@	@	@	35	@	@	@	@	@	@	@	
Mobile Game Designer	1	@	@	2	@	@	@	@	@	46	@	@	@	@	@	@	@	
Game Maker 1	1	@	@	2	@	@	@	@	@	16	@	@	@	@	@	@	@	
Game Maker 2	1	@	@	2	@	@	@	@	@	16	@	@	@	@	@	@	@	
Game Maker- mission to mars	1	@	@	2	@	@	@	@	@	16	@	@	@	@	@	@	@	
Adventures in Game Design for Iphone and IPad	1	@	@	2	@	@	@	@	@	2	17	@	@	@	@	@	@	
Code on! Game Making for the Web	1	@	@	2	@	@	@	@	@	13	18	20	@	@	@	@	@	
Modding in Minecraft Game Design	1	@	@	2	@	@	@	@	@	19	24	@	@	@	@	@	@	
RPG Videogame Design - Summer 2016	1	@	@	2	@	@	@	@	@	18	20	@	@	@	@	@	@	
OWL Summer Tech Camp	1	@	@	2	@	@	@	@	@	55	@	@	@	@	@	@	@	
1100 (three weeks)	1	@	@	2	@	@	@	@	@	24	@	@	@	@	@	@	@	
Bolles Digital Game Design Camp Summer Camp	1	@	@	2	@	@	@	@	@	24	@	@	@	@	@	@	@	
