URL	Notes	Camp Name	State	Target Group (Women, Ethnic Minorities, Low Income, N/A)	Theme (Game Design, Art, Programming, VR, App Dev, Web Dev, Minecraft, Robotics, More Than One, Other 	Language of Instruction	Cost (list costs, and ranges seperated by commas) or Unknown	Target age group	Length (Overnight, Full, Half, # of days) or Unknown	Scholarships (Yes, No, Unknown)
http://fun4firstcoastkids.com/Camps/Science-and-Tech-Camps/Bolles-App-Inventer-Summer-Camp/View-details		Bolles App Inventer Summer Camp	Florida	N/A	App Dev	App Inventor	$450	9,10,11,12	5	U
http://i2camp.org/explore-camp-courses/		App Inventor	Massachusetts, New York, California, Connecticut, New Jersey	N/A	App Dev	App Inventor	$850	10,11,12,13	5	U
http://www.memphis.edu/cristal/stem_opportunities/k12students.php		Beginner/  Intermediate Code Crew	Tennessee 	N/A	App Dev	App Inventor	$10	10,11,12,13,14	30	U
http://www.utdallas.edu/k12/summer/		Mobile Apps using MIT App Inventor	Texas	N/A	App Dev	App Inventor	$250	11,12,13	5	U
http://campedmo.org/programs/minecraft-redstone-engineering/		App Inventor	California	N/A	App Dev	App Inventor, Scratch	$549	10,11,12,13	5	Y
http://www.ccbcmd.edu/~/media/CCBC/Programs%20and%20Courses/Life%20Enrichment/Kids/PDFs/summercamps.ashx?la=en		App Adventures: The Next Level	Maryland	N/A	App Dev	HTML	$199	12,13,14,15	Half, 5	U
http://www.ccbcmd.edu/~/media/CCBC/Programs%20and%20Courses/Life%20Enrichment/Kids/PDFs/summercamps.ashx?la=en		App Attack! Make Your First Game App	Maryland	N/A	App Dev	HTML5, JavaScript, and  CSS	$199	8,9,10,11,12,13,14,15	Half, 5	U
https://ivycoding.com/technology-camps/saturday-coding-summer-camp-middle-school/		Ivy Coding Tech Summer Camp	Georgia	N/A	App Dev	Python	$350 week	11,12,13	41	U
http://www.ctd.northwestern.edu/program/solstice	Solstice camp hosted by Northwestern University	Android Applications & Computer Programming	Illinois	N/A	App Dev	Scratch, Alice, Snap, App Inventor	$2,720	9,10,11	10	U
http://www.oxbridgeprograms.com/	The Oxford Prep Experience	Computer Science and App Design	United Kingdom	N/A	App Dev	Unknown	$7,995	13,14	20	Y
