Name	Targ1	Targ2	Targ3	Theme1	Theme2	Theme3	Theme4	Theme5	Theme6	Lang1	Lang2	Lang3	Lang4	Lang5	Lang6	Lang7	Lang8	
Assiter	0	@	@	1	@	@	@	@	@	3	@	@	@	@	@	@	@	
Adams	0	4	@	0	@	@	@	@	@	28	@	@	@	@	@	@	@	
Basawapatna	1	@	@	2	@	@	@	@	@	1	@	@	@	@	@	@	@	
Buffum	0	@	@	2	@	@	@	@	@	73	@	@	@	@	@	@	@	
Buffum	0	2	@	2	@	@	@	@	@	73	@	@	@	@	@	@	@	
Blank	0	2	@	0	6	@	@	@	@	28	49	@	@	@	@	@	@	
Ngai	1	@	@	1	@	@	@	@	@	28	@	@	@	@	@	@	@	
Clark	1	@	@	1	@	@	@	@	@	28	@	@	@	@	@	@	@	
Cottam	1	@	@	10	@	@	@	@	@	72	@	@	@	@	@	@	@	
Craig	0	@	@	10	@	@	@	@	@	73	@	@	@	@	@	@	@	
Orpheus	0	2	@	0	@	@	@	@	@	28	53	@	@	@	@	@	@	
Curzon	1	@	@	1	6	9	@	@	@	3	19	21	28	@	@	@	@	
Daily	0	@	@	0	@	@	@	@	@	72	@	@	@	@	@	@	@	
Ericson	1	@	@	0	6	@	@	@	@	3	4	21	28	34	@	@	@	
Franklin	0	2	@	0	@	@	@	@	@	28	@	@	@	@	@	@	@	
Franklin	1	@	@	1	@	@	@	@	@	8	19	28	73	@	@	@	@	
Grover	1	@	@	1	@	@	@	@	@	28	73	@	@	@	@	@	@	
Hart	0	@	@	0	9	@	@	@	@	3	34	@	@	@	@	@	@	
Hill	1	@	@	0	1	@	@	@	@	7	28	@	@	@	@	@	@	
Hulsey	0	@	@	4	@	@	@	@	@	38	39	@	@	@	@	@	@	
Kacmarcik	1	@	@	2	@	@	@	@	@	21	40	@	@	@	@	@	@	
Lakanen	1	@	@	2	@	@	@	@	@	9	41	@	@	@	@	@	@	
Lakanen	1	@	@	2	@	@	@	@	@	9	41	@	@	@	@	@	@	
Lakanen	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Lakanen	1	@	@	2	@	@	@	@	@	9	41	@	@	@	@	@	@	
Lakanen	0	@	@	2	@	@	@	@	@	9	41	@	@	@	@	@	@	
Lang	0	@	@	0	@	@	@	@	@	3	@	@	@	@	@	@	@	
Lang	0	@	@	10	@	@	@	@	@	72	@	@	@	@	@	@	@	
Larkins	1	@	@	6	@	@	@	@	@	21	@	@	@	@	@	@	@	
Lijun	1	@	@	3	@	@	@	@	@	4	@	@	@	@	@	@	@	
Mano	0	2	@	0	1	@	@	@	@	34	@	@	@	@	@	@	@	
Marcu	2	3	@	9	@	@	@	@	@	34	@	@	@	@	@	@	@	
Maxim	1	@	@	0	2	@	@	@	@	53	@	@	@	@	@	@	@	
Meerbaum-Salant	1	@	@	0	1	@	@	@	@	28	@	@	@	@	@	@	@	
Craig	0	@	@	10	@	@	@	@	@	3	28	42	@	@	@	@	@	
Lijun	1	@	@	3	@	@	@	@	@	4	@	@	@	@	@	@	@	
Nugent	1	@	@	6	9	@	@	@	@	21	73	@	@	@	@	@	@	
Ouyang	0	2	@	9	10	@	@	@	@	73	@	@	@	@	@	@	@	
Robertson	0	@	@	2	@	@	@	@	@	73	@	@	@	@	@	@	@	
Robinson	0	2	@	3	@	@	@	@	@	34	@	@	@	@	@	@	@	
Rodger	1	@	@	0	@	@	@	@	@	3	@	@	@	@	@	@	@	
Rodger	1	@	@	0	@	@	@	@	@	3	@	@	@	@	@	@	@	
Sebastian	1	@	@	1	6	10	@	@	@	19	21	@	@	@	@	@	@	
Starrett	0	@	@	0	@	@	@	@	@	27	43	44	@	@	@	@	@	
Taub	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Urness	1	@	@	3	@	@	@	@	@	4	@	@	@	@	@	@	@	
Wagner	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Wagner	1	@	@	6	@	@	@	@	@	19	21	@	@	@	@	@	@	
Wagner	1	@	@	3	9	@	@	@	@	4	19	@	@	@	@	@	@	
Webb	1	@	@	0	1	2	@	@	@	21	28	@	@	@	@	@	@	
Webb	0	@	@	0	@	@	@	@	@	3	@	@	@	@	@	@	@	
WEner	1	@	@	2	@	@	@	@	@	3	@	@	@	@	@	@	@	
Winnie	0	@	@	0	@	@	@	@	@	5	8	@	@	@	@	@	@	
Wolz	0	2	@	1	5	@	@	@	@	28	@	@	@	@	@	@	@	
Wolz	0	2	@	1	5	@	@	@	@	28	73	@	@	@	@	@	@	
